1032012,火锅牛肉面,15.0,10320
1032013,火锅排骨面,15.0,10320
1032014,火锅鸡面,15.0,10320
1032101,黑椒肥牛,15.0,10321
1032102,蒜香肥牛,15.0,10321
1032103,蒜香鱿鱼,16.0,10321
1032104,黑椒鸡排,13.0,10321
1032105,咖喱鸡肉,12.0,10321
1032106,蒜香大虾,16.0,10321
1032107,黑椒五花肉,13.0,10321
1032108,培根芝士,14.0,10321
1032109,黑椒猪排,14.0,10321
1032110,加芝士,2.0,10321
1032201,拌鸡架（大份加2元）,9.0,10322
1032202,拌鸡脖（大份加2元）,9.0,10322
1032203,拌鸡肝（大份加2元）,9.0,10322
1032204,拌鸡腿（大份加2元）,11.0,10322
1032205,鸡架混拌（大份加2元）,9.0,10322
1032206,鸡腿混拌（大份加2元）,13.0,10322
1032207,鸡腿（个）,6.0,10322
1032208,鸡架（个）,5.0,10322
1032209,鸡脖（个）,2.0,10322
1032210,鸡肝（个）,1.0,10322
1032211,花生（份）,2.0,10322
1032212,火腿（份）,2.0,10322
1032213,生菜（份）,3.0,10322
1032301,原味土豆泥,7.0,10323
1032302,番茄土豆泥,8.0,10323
1032303,沙拉土豆泥,8.0,10323
1032304,黑椒土豆泥,8.0,10323
1032305,麻辣土豆泥,8.0,10323
1032306,火腿土豆泥,8.0,10323
1032307,鸡腿土豆泥,11.0,10324
1032401,狮子头双拼饭,9.8,10324
1032402,尖叫鳕鱼饭,13.8,10324
1032403,荣耀鸡排饭,12.8,10324
1032404,王者排骨饭,14.8,10324
1032405,黄金咖喱鸡饭,13.8,10324
1032406,雪花鸡排,3.8,10324
1032407,青春鸡柳,4.8,10324
1032408,无尽薯条,4.8,10324
1032409,酥糯香蕉派,3.8,10324
1032410,深海鳕鱼派,3.8,10324
1032411,水晶慢炖酸菜,5.8,10324
1032501,鸭血粉丝,11.0,10325
1032502,鸭血面,11.0,10325
1032503,鸭血米线,11.0,10325
1032601,烤肉拌饭,12.0,10326
1032701,鸡排+果汁,10.0,10327
1032801,脆皮鸡拌饭（11种口味）,12.0,10328
1032901,干锅茄子,10.0,10329
1032902,干锅土豆,10.0,10329
1032903,干锅鸡蛋,10.0,10329
1032904,干锅木耳,10.0,10329
1032905,干锅金针菇,10.0,10329
1032906,干锅虾肉卷,11.0,10329
1032907,干锅鱼豆腐,11.0,10329
1032908,干锅火腿,11.0,10329
1032909,干锅脆肠,11.0,10329
1032910,干锅鱼丸,11.0,10329
1032911,干锅龙虾排,11.0,10329
1032912,干锅千页豆腐,11.0,10329
1032913,干锅骨肉相连,12.0,10329
1032914,干锅小肉,12.0,10329
1032915,干锅鸭胸,12.0,10329
1032916,干锅肥牛,12.0,10329
1032917,干锅酥肉,12.0,10329
1032918,干锅培根,12.0,10329
1032919,干锅鸡心,12.0,10329
1032920,干锅五花肉,12.0,10329
1033001,酸辣粉（面）,10.0,10330
1033002,原味米粉（面）,10.0,10330
1033003,肉沫米粉（面）,11.0,10330
1033004,笋尖米粉（面）,11.0,10330
1033005,金针菇米粉（面）,11.0,10330
1033006,牛肉米粉（面）,13.0,10330
1033101,佛家素食,10.0,10331
1033102,飘香多蘑,11.0,10331
1033103,香煎鸡胸肉,12.0,10331
